coeffs_len,us
1030,3988.2
30,3.2
1185,5081.6
670,1677.4
4460,71032.4
3920,54278.6
3750,50372.8
2575,24607.8
3635,48051
4020,58876.4
3950,56947.6
4620,80331.8
1110,4612
3955,57314
3795,52433.8
2990,32516.8
250,238
2265,18757.8
4055,60526.2
1745,11330.2
680,1748.6
15,1.2
1960,14297.2
2900,30664.8
1180,5095
1105,4610.6
880,2892.4
1080,4430.2
3265,39734.6
3885,54412.4
2275,18708.4
950,3359.2
3190,36795.6
4975,89613.6
3560,46291.4
3990,59489.2
405,617.4
4350,67920.6
595,1367.6
2545,23340.4
1270,5977.2
3995,56818.6
1530,8514
2335,19602.6
3630,46900
3975,56787.6
3585,46771.8
675,1709.8
3170,35506.2
2590,23689.8
4230,63012.6
2530,22731
1990,14055.4
495,936.8
4640,75344.6
2180,16863.8
4850,83025
1680,10443.6
4710,79510
3280,37678.4
2595,23660.6
3415,41122.4
4395,67854
390,571.2
1860,12429.8
4265,63695.2
1890,12670.2
4065,57588.4
3080,33316.6
1075,4154
2585,23535
4425,68412.4
3035,33034.6
3390,40206.8
3445,42233.8
3770,49720.6
3285,38459.2
4010,56738
2390,20219
4825,82014.6
4505,70975.4
2195,17071.2
4435,68644.6
375,521.4
3765,50610.8
4935,86028.8
5,2
255,244.2
1255,5646
2345,19378.4
4555,72814.2
155,98.2
1980,14076.4
2435,20889.4
4575,73499.2
1330,6350.4
4970,86825.6
1150,4813
1160,4851.2
650,1606
2525,22612.2
705,1862.4
3355,39887
4195,61497.6
1800,11606
4740,78786
4375,66882.2
1420,7187.4
1215,5308.6
2570,23286.4
1600,9131
2295,18847.2
2895,29467
3550,44208.6
2130,16232.4
100,46
4015,56596.2
1775,11203
850,2682
310,362.4
4945,85518.4
3720,48701
820,2449.6
1460,7741.8
210,168.2
1145,4741.6
3595,45873
1640,9918.4
800,2391.8
2555,23322.8
3100,33774.2
2980,31060.2
1820,11703.2
2120,15919
355,483.4
995,3525.4
2770,27211.6
3305,38125.6
1995,14145
1730,10713.6
4325,65935
3780,50472.8
170,125
2440,21226.8
1430,7399.8
2375,20145.8
810,2483.6
4170,60693
80,26.2
605,1398
2710,25928.4
4075,58272.4
1500,8077
4805,81380.8
2670,25106.4
545,1158.6
4370,66816.8
1615,9263
2445,21083.6
3960,54782.2
1190,5106.6
4855,85711.8
775,2398
3435,42731.2
2365,19847.2
3480,45517.6
2915,32790.4
4220,64282.6
940,3247
1700,10311.6
2115,16092.2
2930,30993.6
4000,65907.6
885,3078.8
1175,5434.6
275,303.6
4675,92566
3610,51203
4165,67174.8
3845,61892.6
1655,12689.8
1015,4307.2
1770,12395.4
3155,40560
1710,11855.2
2860,34734
3760,57623.4
2835,32223.8
555,1170.8
50,10.4
2535,25065.2
1365,7440.4
4925,97854.4
3185,44959.2
3180,37984.8
2135,17381.8
3350,45312
4900,95063.4
2775,31386
3060,38935
575,1450
1670,11435.2
335,441.2
2085,17310.6
790,2331
2105,16778.8
760,2299.6
865,2891.8
770,2337.4
3525,48770.6
755,2242.2
665,1978.4
2960,34220.6
2730,28520.8
745,2186.8
3855,53669.8
600,1406.2
3840,53791.4
4470,72055.8
265,273
3645,48307.8
1130,4728.4
2040,15294.8
4885,90819.4
4835,104758
260,359.4
1070,5460.2
4530,105519
3590,56036.2
915,3272.8
4045,62993.2
4995,97208.6
4570,81984.6
3540,48043.6
3490,47054.4
1380,7607.8
660,1943.2
1165,5423.6
4185,70896.8
480,956.8
2645,28529.6
2810,31420.2
3110,37002
855,2902.8
3300,41878
975,3836
4865,91117.4
1000,4133
125,89.6
1290,6812
3910,58252
3530,48086.4
4730,91416.4
590,1497
4920,93091
3315,45078.6
935,3444.2
4775,94267.8
3405,46918.6
75,23.4
2905,33098.4
1610,10251.2
2825,32027.2
1855,18017.6
710,2690.8
2280,21497.6
2080,18378.2
2520,39416.2
3135,37529.4
3010,32393.2
4815,86824.8
2620,26042.6
1480,8407.4
2745,28265
3710,50637
4860,95355.8
2875,32079.4
2705,28129.8
2320,20416.2
2760,28914.6
485,910.8
4330,73201.8
3505,46354.8
4605,104996
1840,15197.6
3470,60622.4
1225,6387.8
3825,59727.4
2035,17102.8
2715,32743
4030,65725.2
1390,7620.2
1585,10030.8
2765,31604.8
3605,51430.8
1525,8979.2
4695,85388
1955,15585.4
65,18
3545,49864.2
1170,5788.2
2680,27862.8
4285,72057.4
4585,81911
3850,55487.6
1865,13406.2
400,587
4660,82669.2
1385,7155.4
3905,60871.8
460,806.2
4130,65237.2
1445,7708.4
2220,18152.8
2155,17825.8
3555,47520.6
2880,31225.8
3225,38904.6
4225,66991.2
4725,84823.6
3330,41789.2
2625,25938.2
4960,92840.8
2235,18537
4520,76124.2
1985,15109.8
1555,9411.8
3320,42190.4
4545,76812.2
1305,6387.4
4345,71603
4430,72901
70,18.6
4905,91655.8
4705,82522.8
3410,43680.4
2350,20875.2
1785,12173.4
3360,42138.2
4650,81159.6
395,1089.2
515,1029.4
175,134.4
3375,42041.4
3890,56675
240,219.6
465,873.8
1100,5250.8
900,3081
2515,23562
785,2277
1940,14277.4
3790,55903.8
4980,96282.2
205,164.6
3105,37685.4
2830,31147.4
2020,16232.6
2070,17492.6
4040,62819.4
4645,88559.2
2240,19652.8
1210,6143
2450,23866
2505,24318
360,523.8
3075,37072.2
1065,4547.8
3705,55154.6
3565,51684.8
4245,68970.6
2360,20935.2
4365,72047
3935,58154.4
3895,56816.4
3210,38532
2500,22967.2
750,2141.2
2480,23314.8
3290,44450.6
2125,17225.6
4685,83055.8
955,3342.2
1505,8825.6
4830,86395.2
3095,35477.6
4625,80739
2700,27214.2
4670,80634.8
4680,81585.2
4150,64176.4
1205,5716.2
145,85
1950,14311.8
2260,18862.8
1335,6828.2
1835,12961.2
3230,39357
2140,17897.8
725,2144.2
3650,49923.2
510,1147.4
2355,21088.8
3070,34931.8
3115,37603.6
1120,4706.2
2785,29350
2200,18471
780,2338.2
3205,40285.6
330,452.8
2965,37083
285,321.4
245,354.4
3640,54175.4
300,333
3805,59272.4
290,314.2
1690,11525.2
4275,72786.4
2750,31279
2370,22338.4
4035,66215
4105,68991.2
3455,46528
2955,34078.6
1360,7748.2
1060,4965.4
1265,6206.4
3085,37018.4
1515,9490.4
700,2068.2
1235,6062.2
1920,14412
150,88.4
365,508.2
2210,20501
2615,26564.8
685,1794.6
3235,41913.6
3425,46224
3510,49842.6
25,2.2
4175,67675.2
3295,43063
3535,48560.6
2430,23933.6
4180,68472.8
3660,55199.8
420,674.8
4810,90447.4
4770,90961.8
1625,10336.6
3055,38737
220,217.6
2580,26102.8
905,3843.8
1570,9430.4
320,388.2
2610,27044.4
1635,10371.2
4410,76542.4
3045,37303.2
3520,49013.4
1630,10321.6
4715,85710.8
1320,6521.6
1905,13650.8
95,34.4
4190,67629.4
10,0.4
35,5
1850,12609.4
2250,19204.6
2485,23359.2
1735,11421.2
1715,11159.2
635,2219
195,150
860,2800.6
2985,32899.4
2870,30905.2
4100,63233
4780,85424.2
3970,59591.2
3820,54089.4
1470,7974
570,1304.6
4090,61426.8
4950,92386.6
2690,27097.8
3015,33413
1020,5140.8
2205,20142.8
870,3172
4965,94493.4
730,2017.2
4270,69964.8
2675,28700.8
1295,6594.4
715,2056.6
4135,67044.4
3325,43045
4615,79077.8
1010,3905.2
4750,82958.8
4260,65053
2800,27820
4495,73572.8
3715,49283.4
3945,55460.8
695,1802.6
3670,48810.2
5000,99377.4
2850,32972.8
2190,19663.2
3870,57123.8
